date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:07:32	110/110	---MCZ	200	added ('OK')	text/plain	date:Sun,%2021%20Aug%202022%2010:46:23%20GMT	https://www.sliderrevolution.com/robots.txt		(from )
17:07:33	198961/198961	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Aug%202022%2011:31:49%20GMT	https://www.sliderrevolution.com/templates/wordpress-typewriter-effect/	C:/My%20Web%20Sites/sliderrr/www.sliderrevolution.com/templates/wordpress-typewriter-effect/index.html	(from )
17:07:33	8465/8465	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Sep%202020%2012:26:40%20GMT	https://www.sliderrevolution.com/wp-content/uploads/2020/05/cookie_icon.png	C:/My%20Web%20Sites/sliderrr/www.sliderrevolution.com/wp-content/uploads/2020/05/cookie_icon.png	(from https://www.sliderrevolution.com/templates/wordpress-typewriter-effect/)
17:07:33	166/166	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Sep%202020%2012:12:57%20GMT	https://www.sliderrevolution.com/wp-content/uploads/2020/04/overviewlarge.png	C:/My%20Web%20Sites/sliderrr/www.sliderrevolution.com/wp-content/uploads/2020/04/overviewlarge.png	(from https://www.sliderrevolution.com/templates/wordpress-typewriter-effect/)
17:07:34	215/215	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Sep%202020%2012:12:56%20GMT	https://www.sliderrevolution.com/wp-content/uploads/2020/04/closerlarge.png	C:/My%20Web%20Sites/sliderrr/www.sliderrevolution.com/wp-content/uploads/2020/04/closerlarge.png	(from https://www.sliderrevolution.com/templates/wordpress-typewriter-effect/)
17:07:34	619199/619199	---MCZ	200	added ('OK')	text/css	date:Mon,%2015%20Aug%202022%2005:20:39%20GMT	https://www.sliderrevolution.com/wp-content/cache/min/1/5af191672252d6ed995494f6521c9413.css	C:/My%20Web%20Sites/sliderrr/www.sliderrevolution.com/wp-content/cache/min/1/5af191672252d6ed995494f6521c9413.css	(from https://www.sliderrevolution.com/templates/wordpress-typewriter-effect/)
17:07:34	26422/26422	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Sep%202020%2012:14:22%20GMT	https://www.sliderrevolution.com/wp-content/uploads/2020/04/slider_typewriter.jpg	C:/My%20Web%20Sites/sliderrr/www.sliderrevolution.com/wp-content/uploads/2020/04/slider_typewriter.jpg	(from https://www.sliderrevolution.com/templates/wordpress-typewriter-effect/)
17:07:34	263405/263405	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2015%20Aug%202022%2005:20:30%20GMT	https://www.sliderrevolution.com/wp-content/cache/min/1/wp-content/plugins/lordicon-interactive-icons/dist/element.js?ver=1660540830	C:/My%20Web%20Sites/sliderrr/www.sliderrevolution.com/wp-content/cache/min/1/wp-content/plugins/lordicon-interactive-icons/dist/element5071.js	(from https://www.sliderrevolution.com/templates/wordpress-typewriter-effect/)
17:07:34	89521/89521	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Jul%202021%2022:36:49%20GMT	https://www.sliderrevolution.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/sliderrr/www.sliderrevolution.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://www.sliderrevolution.com/templates/wordpress-typewriter-effect/)
17:07:35	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Dec%202020%2010:36:50%20GMT	https://www.sliderrevolution.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/sliderrr/www.sliderrevolution.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://www.sliderrevolution.com/templates/wordpress-typewriter-effect/)
17:07:35	38751/38751	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2015%20Aug%202022%2005:20:30%20GMT	https://www.sliderrevolution.com/wp-content/cache/min/1/wp-content/plugins/webtoffee-gdpr-cookie-consent/public/js/cookie-law-info-public.js?ver=1660540830	C:/My%20Web%20Sites/sliderrr/www.sliderrevolution.com/wp-content/cache/min/1/wp-content/plugins/webtoffee-gdpr-cookie-consent/public/js/cookie-law-info-public5071.js	(from https://www.sliderrevolution.com/templates/wordpress-typewriter-effect/)
17:07:35	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2021%20Aug%202022%2011:22:35%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/sliderrr/www.googletagmanager.com/gtm.95445.delayed	(from https://www.sliderrevolution.com/templates/wordpress-typewriter-effect/)
17:07:37	41922/41922	---MC-	200	added ('OK')	text/javascript	etag:W/%221d4d28b2c970ef1699334aa9a7f940b1%22	https://d.impactradius-event.com/A2559068-91e7-45ee-a82f-39239d736b041.js	C:/My%20Web%20Sites/sliderrr/d.impactradius-event.com/A2559068-91e7-45ee-a82f-39239d736b041.js	(from https://www.sliderrevolution.com/templates/wordpress-typewriter-effect/)
17:07:37	11435/11435	---M-Z	200	added ('OK')	application/javascript	etag:%226f7f8ae4a6510a548b7943f3f59a7bfb%22	https://tools.luckyorange.com/core/lo.js?site-id=138ff5ed	C:/My%20Web%20Sites/sliderrr/tools.luckyorange.com/core/lo98ce.js	(from https://www.sliderrevolution.com/templates/wordpress-typewriter-effect/)
17:07:37	738/738	---M--	200	added ('OK')	image/png	date:Wed,%2006%20May%202020%2007:57:33%20GMT	https://www.sliderrevolution.com/wp-content/uploads/2020/05/cropped-rsicon-32x32.png	C:/My%20Web%20Sites/sliderrr/www.sliderrevolution.com/wp-content/uploads/2020/05/cropped-rsicon-32x32.png	(from https://www.sliderrevolution.com/templates/wordpress-typewriter-effect/)
17:07:38	7095/7095	---M--	200	added ('OK')	image/png	date:Wed,%2006%20May%202020%2007:57:33%20GMT	https://www.sliderrevolution.com/wp-content/uploads/2020/05/cropped-rsicon-192x192.png	C:/My%20Web%20Sites/sliderrr/www.sliderrevolution.com/wp-content/uploads/2020/05/cropped-rsicon-192x192.png	(from https://www.sliderrevolution.com/templates/wordpress-typewriter-effect/)
17:07:38	14468/14468	---M--	200	added ('OK')	image/png	date:Wed,%2006%20May%202020%2007:57:33%20GMT	https://www.sliderrevolution.com/wp-content/uploads/2020/05/cropped-rsicon-180x180.png	C:/My%20Web%20Sites/sliderrr/www.sliderrevolution.com/wp-content/uploads/2020/05/cropped-rsicon-180x180.png	(from https://www.sliderrevolution.com/templates/wordpress-typewriter-effect/)
